Date, Close/Last, Volume, Open, High, Low
01/31/2020, 381.25, 136103, 381.5, 382.75, 379.75
01/30/2020, 379.5, 144240, 384.5, 385, 378.5
01/29/2020, 384.25, 121289, 385.5, 388.25, 382.75
01/28/2020, 386.5, 224825, 382.5, 387, 378.5
01/27/2020, 380.5, 242410, 384.25, 384.75, 377.25
01/24/2020, 387.25, 184087, 393.25, 393.25, 386.5
01/23/2020, 393.75, 244067, 388.5, 394, 387.5
01/22/2020, 388.75, 142431, 387.5, 391, 386.75
01/21/2020, 387.5, 168620, 389, 389.25, 384.25
01/17/2020, 389.25, 275953, 377, 389.5, 376.75
01/16/2020, 375.5, 213486, 387.25, 387.75, 375.25
01/15/2020, 387.5, 129405, 388.75, 390.25, 386.5
01/14/2020, 389, 101032, 389.25, 390.5, 388.25
01/13/2020, 389.5, 123587, 388.5, 389.5, 388.25
01/10/2020, 385.75, 206470, 383.25, 386.75, 376.5
01/09/2020, 383.25, 114754, 383.75, 387, 382.25
01/08/2020, 384.25, 117017, 384, 385.5, 382.25
01/07/2020, 384.5, 81838, 385, 385.75, 383.5
01/06/2020, 384.75, 97994, 385.25, 385.75, 384.5
01/03/2020, 386.5, 112048, 391.5, 392, 385.5
01/02/2020, 391.5, 92345, 387.75, 392, 387.25
12/31/2019, 387.75, 72989, 388.25, 389.75, 386.25
12/30/2019, 388.25, 107198, 389.25, 392, 386.75
12/27/2019, 390, 73843, 388, 391, 388
12/26/2019, 388.5, 42713, 388, 389, 386.5
12/24/2019, 387.5, 44328, 388.5, 389, 387
12/23/2019, 388.75, 71412, 388, 390.25, 387.25
12/20/2019, 387.75, 68692, 386.5, 389.5, 386
12/19/2019, 386.5, 84372, 387, 389, 385
12/18/2019, 387, 114382, 389.25, 390, 385.75
12/17/2019, 390, 105079, 389.5, 389.75, 389.25
12/16/2019, 388, 164623, 383.5, 389.5, 383.25
12/13/2019, 366.25, 88, 373.75, 374.5, 366.25
12/12/2019, 367, 664, 358.25, 368.75, 358.25
12/11/2019, 357.75, 259, 363, 363, 357
12/10/2019, 363.25, 888, 365.75, 367, 362.5
12/09/2019, 365.75, 639, 366.5, 368, 365
12/06/2019, 366.5, 960, 366.25, 367.25, 364.75
12/05/2019, 365.5, 3029, 368.5, 369.75, 365.25
12/04/2019, 368.75, 2978, 371.75, 373.5, 367.75
12/03/2019, 372, 4939, 373.75, 376, 371.5
12/02/2019, 373.5, 6189, 374.5, 375.5, 371.5
11/29/2019, 371.25, 15409, 365.75, 372.25, 365
11/27/2019, 362.75, 157745, 367.25, 368.75, 362.25
11/26/2019, 367.5, 182344, 369.75, 370.5, 367
11/25/2019, 370.5, 171835, 368.75, 372.75, 368.25
11/22/2019, 368.75, 188613, 368, 370.25, 367.5
11/21/2019, 368.5, 131462, 366.75, 369.75, 366.25
11/20/2019, 366.75, 274150, 366, 367.5, 365.75
11/19/2019, 370, 185640, 367.75, 373, 367.75
11/18/2019, 367.75, 182872, 371, 371.75, 367.5
