Date, Close/Last, Volume, Open, High, Low
01/31/2020, 1.35, 25, 1.36, 1.361, 1.347
01/30/2020, 1.36, 163, 1.363, 1.369, 1.354
01/29/2020, 1.362, 92, 1.343, 1.37, 1.343
01/28/2020, 1.347, 182, 1.324, 1.356, 1.323
01/27/2020, 1.321, 35, 1.333, 1.342, 1.314
01/24/2020, 1.335, 62, 1.342, 1.362, 1.335
01/23/2020, 1.354, 29, 1.351, 1.36, 1.345
01/22/2020, 1.343, 40, 1.364, 1.374, 1.34
01/21/2020, 1.364, 71, 1.374, 1.402, 1.361
01/17/2020, 1.349, 163, 1.305, 1.359, 1.305
01/16/2020, 1.299, 103, 1.325, 1.331, 1.295
01/15/2020, 1.333, 94, 1.346, 1.353, 1.323
01/14/2020, 1.355, 58, 1.373, 1.393, 1.343
01/13/2020, 1.362, 15, 1.348, 1.365, 1.348
01/10/2020, 1.344, 74, 1.334, 1.349, 1.32
01/09/2020, 1.334, 34, 1.335, 1.343, 1.317
01/08/2020, 1.335, 59, 1.359, 1.359, 1.335
01/07/2020, 1.353, 67, 1.352, 1.355, 1.346
01/06/2020, 1.36, 40, 1.368, 1.368, 1.359
01/03/2020, 1.363, 121, 1.368, 1.386, 1.352
01/02/2020, 1.371, 54, 1.405, 1.41, 1.37
12/31/2019, 1.393, 104, 1.407, 1.407, 1.387
12/30/2019, 1.416, 30, 1.426, 1.426, 1.408
12/27/2019, 1.42, 82, 1.449, 1.453, 1.419
12/26/2019, 1.433, 28, 1.44, 1.45, 1.409
12/24/2019, 1.398, 19, 1.399, 1.399, 1.363
12/23/2019, 1.388, 237, 1.354, 1.4, 1.354
12/20/2019, 1.39, 73, 1.37, 1.392, 1.37
12/19/2019, 1.376, 15, 1.367, 1.378, 1.367
12/18/2019, 1.357, 77, 1.359, 1.375, 1.351
12/17/2019, 1.369, 169, 1.39, 1.404, 1.368
12/16/2019, 1.39, 99, 1.39, 1.398, 1.38
12/13/2019, 1.368, 33, 1.359, 1.374, 1.347
12/12/2019, 1.344, 200, 1.313, 1.379, 1.313
12/11/2019, 1.322, 80, 1.34, 1.34, 1.315
12/10/2019, 1.338, 85, 1.351, 1.353, 1.329
12/09/2019, 1.363, 60, 1.367, 1.37, 1.36
12/06/2019, 1.375, 52, 1.373, 1.38, 1.369
12/05/2019, 1.374, 34, 1.371, 1.381, 1.371
12/04/2019, 1.371, 84, 1.376, 1.377, 1.35
12/03/2019, 1.385, 91, 1.442, 1.442, 1.38
12/02/2019, 1.469, 10, 1.48, 1.48, 1.48
11/29/2019, 1.412, 40, 1.473, 1.473, 1.368
11/27/2019, 1.37, 114, 1.448, 1.448, 1.366
11/26/2019, 1.419, 125, 1.451, 1.462, 1.415
11/25/2019, 1.447, 124, 1.416, 1.455, 1.4
11/22/2019, 1.435, 35, 1.418, 1.437, 1.418
11/21/2019, 1.416, 231, 1.413, 1.42, 1.413
11/20/2019, 1.405, 79, 1.404, 1.418, 1.399
11/19/2019, 1.404, 43, 1.43, 1.433, 1.404
11/18/2019, 1.414, 69, 1.42, 1.426, 1.412
11/15/2019, 1.43, 98, 1.427, 1.434, 1.421
11/14/2019, 1.421, 78, 1.393, 1.433, 1.393
11/13/2019, 1.412, 97, 1.421, 1.431, 1.406
11/12/2019, 1.433, 114, 1.428, 1.438, 1.428
11/11/2019, 1.445, 60, 1.433, 1.446, 1.417
11/08/2019, 1.418, 117, 1.409, 1.42, 1.395
11/07/2019, 1.405, 252, 1.381, 1.409, 1.37
11/06/2019, 1.373, 289, 1.39, 1.39, 1.371
11/05/2019, 1.394, 118, 1.405, 1.41, 1.386
11/04/2019, 1.414, 136, 1.447, 1.453, 1.412
11/01/2019, 1.45, 101, 1.477, 1.477, 1.431
10/31/2019, 1.431, 54, 1.411, 1.431, 1.403
10/30/2019, 1.41, 73, 1.429, 1.43, 1.405
10/29/2019, 1.419, 43, 1.426, 1.434, 1.413
10/28/2019, 1.426, 42, 1.456, 1.46, 1.423
10/25/2019, 1.444, 258, 1.437, 1.452, 1.428
10/24/2019, 1.435, 170, 1.434, 1.441, 1.418
10/23/2019, 1.431, 97, 1.405, 1.447, 1.405
10/22/2019, 1.421, 149, 1.435, 1.435, 1.415
10/21/2019, 1.419, 60, 1.417, 1.447, 1.417
10/18/2019, 1.437, 109, 1.431, 1.445, 1.431
10/17/2019, 1.445, 203, 1.426, 1.458, 1.426
10/16/2019, 1.422, 206, 1.46, 1.46, 1.41
10/15/2019, 1.431, 165, 1.475, 1.475, 1.428
10/14/2019, 1.5, 105, 1.512, 1.519, 1.494
10/11/2019, 1.507, 155, 1.484, 1.515, 1.482
10/10/2019, 1.471, 97, 1.495, 1.506, 1.455
10/09/2019, 1.496, 161, 1.454, 1.5, 1.45
10/08/2019, 1.442, 107, 1.401, 1.453, 1.395
10/07/2019, 1.396, 77, 1.395, 1.402, 1.386
10/04/2019, 1.388, 178, 1.411, 1.415, 1.382
10/03/2019, 1.421, 177, 1.43, 1.437, 1.411
